,weak_acc,strong_acc,transfer_acc_xent,transfer_acc_logconf,weak_params,weak_step_size,strong_params,strong_step_size
178,0.69,0.72,0.685,0.68,0.16,31000,1.4,61000
179,0.71,0.635,0.68,0.655,0.16,31000,1.4,91000
180,0.69,0.65,0.685,0.635,0.16,31000,0.16,1000
181,0.69,0.62,0.69,0.59,0.16,31000,0.16,121000
182,0.69,0.66,0.675,0.66,0.16,31000,0.16,31000
183,0.69,0.685,0.695,0.665,0.16,31000,0.16,61000
184,0.69,0.635,0.68,0.655,0.16,31000,0.16,91000
185,0.69,0.55,0.64,0.62,0.16,31000,1.0,1000
186,0.71,0.59,0.69,0.685,0.16,31000,1.0,121000
187,0.71,0.63,0.69,0.7,0.16,31000,1.0,31000
188,0.71,0.685,0.7,0.69,0.16,31000,1.0,61000
189,0.69,0.58,0.69,0.675,0.16,31000,1.0,91000
190,0.69,0.64,0.635,0.545,0.16,31000,2.8,1000
191,0.69,0.57,0.66,0.6,0.16,31000,2.8,121000
192,0.69,0.635,0.705,0.72,0.16,31000,2.8,31000
193,0.69,0.635,0.685,0.675,0.16,31000,2.8,61000
194,0.69,0.635,0.71,0.635,0.16,31000,2.8,91000
195,0.69,0.615,0.685,0.63,0.16,31000,0.41,1000
196,0.69,0.645,0.71,0.655,0.16,31000,0.41,121000
197,0.69,0.72,0.7,0.66,0.16,31000,0.41,31000
198,0.69,0.76,0.685,0.685,0.16,31000,0.41,61000
199,0.69,0.735,0.68,0.66,0.16,31000,0.41,91000
200,0.69,0.6,0.645,0.56,0.16,61000,1.4,1000
201,0.695,0.635,0.71,0.585,0.16,61000,1.4,121000
202,0.695,0.635,0.695,0.685,0.16,61000,1.4,31000
203,0.69,0.72,0.69,0.565,0.16,61000,1.4,61000
204,0.69,0.635,0.685,0.685,0.16,61000,1.4,91000
205,0.695,0.65,0.685,0.62,0.16,61000,0.16,1000
206,0.695,0.62,0.68,0.595,0.16,61000,0.16,121000
207,0.695,0.66,0.69,0.645,0.16,61000,0.16,31000
208,0.695,0.685,0.69,0.65,0.16,61000,0.16,61000
209,0.695,0.635,0.685,0.69,0.16,61000,0.16,91000
210,0.69,0.635,0.655,0.64,0.16,61000,1.0,1000
211,0.69,0.59,0.685,0.67,0.16,61000,1.0,121000
212,0.695,0.755,0.69,0.695,0.16,61000,1.0,31000
213,0.69,0.685,0.69,0.69,0.16,61000,1.0,61000
214,0.695,0.58,0.685,0.69,0.16,61000,1.0,91000
215,0.695,0.64,0.555,0.565,0.16,61000,2.8,1000
216,0.695,0.57,0.635,0.63,0.16,61000,2.8,121000
217,0.695,0.635,0.7,0.695,0.16,61000,2.8,31000
218,0.695,0.635,0.69,0.68,0.16,61000,2.8,61000
219,0.695,0.635,0.675,0.635,0.16,61000,2.8,91000
220,0.695,0.615,0.68,0.595,0.16,61000,0.41,1000
221,0.695,0.645,0.69,0.645,0.16,61000,0.41,121000
222,0.695,0.72,0.695,0.655,0.16,61000,0.41,31000
223,0.695,0.76,0.715,0.72,0.16,61000,0.41,61000
224,0.695,0.735,0.71,0.64,0.16,61000,0.41,91000
225,0.675,0.6,0.61,0.59,0.16,91000,1.4,1000
226,0.675,0.635,0.66,0.59,0.16,91000,1.4,121000
227,0.685,0.635,0.71,0.675,0.16,91000,1.4,31000
228,0.685,0.72,0.705,0.68,0.16,91000,1.4,61000
229,0.685,0.635,0.695,0.65,0.16,91000,1.4,91000
230,0.675,0.65,0.645,0.61,0.16,91000,0.16,1000
231,0.675,0.62,0.675,0.63,0.16,91000,0.16,121000
232,0.675,0.66,0.665,0.615,0.16,91000,0.16,31000
233,0.675,0.685,0.685,0.585,0.16,91000,0.16,61000
234,0.675,0.635,0.69,0.58,0.16,91000,0.16,91000
235,0.685,0.635,0.685,0.595,0.16,91000,1.0,1000
236,0.685,0.59,0.705,0.645,0.16,91000,1.0,121000
237,0.675,0.755,0.665,0.635,0.16,91000,1.0,31000
238,0.685,0.685,0.72,0.685,0.16,91000,1.0,61000
239,0.675,0.58,0.67,0.65,0.16,91000,1.0,91000
240,0.675,0.64,0.61,0.545,0.16,91000,2.8,1000
241,0.675,0.57,0.59,0.615,0.16,91000,2.8,121000
242,0.675,0.635,0.675,0.64,0.16,91000,2.8,31000
243,0.675,0.635,0.68,0.66,0.16,91000,2.8,61000
244,0.675,0.635,0.66,0.6,0.16,91000,2.8,91000
245,0.675,0.615,0.655,0.545,0.16,91000,0.41,1000
246,0.675,0.645,0.67,0.63,0.16,91000,0.41,121000
247,0.675,0.72,0.68,0.63,0.16,91000,0.41,31000
248,0.675,0.76,0.665,0.6,0.16,91000,0.41,61000
249,0.675,0.735,0.665,0.615,0.16,91000,0.41,91000
250,0.585,0.635,0.585,0.55,1.0,1000,1.4,1000
251,0.585,0.635,0.565,0.5,1.0,1000,1.4,121000
252,0.585,0.605,0.585,0.585,1.0,1000,1.4,31000
253,0.585,0.635,0.58,0.54,1.0,1000,1.4,61000
254,0.585,0.57,0.59,0.525,1.0,1000,1.4,91000
255,0.585,0.65,0.605,0.52,1.0,1000,0.16,1000
256,0.585,0.635,0.61,0.575,1.0,1000,0.16,121000
257,0.585,0.675,0.595,0.56,1.0,1000,0.16,31000
